[2026-05-02 01:00:43] <Default, 01:00, Weekend, relaxed>
[2026-05-02 01:00:53] <Late Night Work, 01:00, Weekend, tired>
[2026-05-02 01:01:03] <Late Night Work, 01:00, Weekend, tired>
[2026-05-02 01:01:13] <Late Night Work, 01:00, Weekend, tired>
[2026-05-02 01:01:23] <Late Night Work, 01:00, Weekend, tired>
[2026-05-02 01:01:33] <Late Night Work, 01:00, Weekend, tired>
[2026-05-02 01:01:43] <Late Night Work, 01:00, Weekend, tired>
[2026-05-02 01:04:31] <Late Night Work, 01:00, Weekend, tired>
[2026-05-02 01:04:41] <Late Night Work, 01:00, Weekend, tired>
[2026-05-02 01:04:51] <Late Night Work, 01:00, Weekend, tired>
[2026-05-02 01:05:01] <Late Night Work, 01:00, Weekend, tired>
[2026-05-02 01:07:49] <Late Night Work, 01:00, Weekend, tired>
[2026-05-02 01:07:59] <Late Night Work, 01:00, Weekend, tired>
[2026-05-02 01:08:09] <Late Night Work, 01:00, Weekend, tired>
[2026-05-02 01:08:19] <Idle Ambient, 01:00, Weekend, relaxed>
[2026-05-02 01:08:29] <Idle Ambient, 01:00, Weekend, relaxed>
[2026-05-02 01:08:39] <Active Break, 01:00, Weekend, curious>
[2026-05-02 01:08:49] <Late Night Work, 01:00, Weekend, tired>
